Restaurant,Food,Category,Calories,Total Fat (g),Saturated Fat (g),Sodium (mg),Carbs (g),Sugar (g),Protein (g),Fiber (g),Has_wheat,Has_soy,Has_milk,Has_egg,Has_peanut,Has_treenut,Has_fish,Has_shellfish,Has_sesame
McDonald's,Egg McMuffin,Breakfast,310,13,6,770,30,3,17,2,2,2,2,2,0,0,0,0,1
McDonald's,Sausage McMuffin,Breakfast,400,26,10,760,29,2,14,2,2,2,2,0,0,0,0,0,1
McDonald's,Sausage McMuffin w/ Egg,Breakfast,480,31,12,830,30,2,20,2,2,2,2,2,0,0,0,0,1
McDonald's,"Bacon, Egg, and Cheese Biscuit",Breakfast,460,26,13,1330,39,3,17,2,2,2,2,2,0,0,0,0,0
McDonald's,Sausage Biscuit,Breakfast,460,30,13,1090,37,2,11,2,2,2,2,0,0,0,0,0,0
McDonald's,Sausage Biscuit w/ Egg,Breakfast,530,35,15,1190,38,3,17,2,2,2,2,2,0,0,0,0,0
McDonald's,"Bacon, Egg, and Cheese McGriddles",Breakfast,430,21,9,1230,44,15,17,2,2,2,2,2,0,0,0,0,0
McDonald's,Sausage McGriddles,Breakfast,430,24,9,990,41,14,11,2,2,2,2,0,0,0,0,0,0
McDonald's,"Sausage, Egg, and Cheese McGriddles",Breakfast,550,33,13,1290,44,15,19,2,2,2,2,2,0,0,0,0,0
McDonald's,Egg and Cheese Bagel,Breakfast,520,24,10,1100,55,6,21,2,2,2,2,2,0,0,0,0,1
McDonald's,"Bacon, Egg, and Cheese Bagel",Breakfast,590,30,12,1320,56,7,25,2,2,2,2,2,0,0,0,0,1
McDonald's,"Sausage, Egg, and Cheese Bagel",Breakfast,710,42,16,1380,56,6,27,2,2,2,2,2,0,0,0,0,1
McDonald's,"Steak, Egg, and Cheese Bagel",Breakfast,680,35,15,1510,57,7,34,3,2,2,2,2,0,0,0,0,1
McDonald's,Big Breakfast,Breakfast,1060,48,18,1540,131,56,26,3,2,2,2,2,0,0,0,0,0
McDonald's,Big Breakfast w/ Hotcakes,Breakfast,1340,63,24,2070,158,48,36,5,2,2,2,2,0,0,0,0,0
McDonald's,Hotcakes,Breakfast,580,15,6,530,101,45,9,2,2,2,2,2,0,0,0,0,0
McDonald's,Hotcakes & Sausage,Breakfast,770,33,12,810,102,46,15,2,2,2,2,2,0,0,0,0,0
McDonald's,Sausage Burrito,Breakfast,310,17,7,800,25,2,13,1,2,2,2,2,0,0,0,0,0
McDonald's,Hashbrown,Breakfast,140,8,1,310,18,0,2,2,2,0,2,0,0,0,1,0,0
McDonald's,Fruit & Maple Oatmeal,Breakfast,320,4.5,1.5,150,64,31,6,4,0,0,2,0,0,0,0,0,0
Burger King,Egg-normous Burrito,Breakfast,820,46,17,2045,67,4,36,3,2,2,2,2,0,0,1,0,0
Wendy's,Breakfast Baconator,Breakfast,680,46,18,1580,34,7,33,1,2,2,2,2,0,0,0,0,2
Wendy's,Homestyle French Toast Sticks,Breakfast,460,18,4,380,63,21,10,1,2,2,2,2,0,0,0,0,2
Chick-fil-A,Chicken Biscuit,Breakfast,460,23,8,1510,45,6,19,2,2,2,2,2,0,0,0,0,0
Chick-fil-A,Spicy Chicken Biscuit,Breakfast,450,22,8,1570,44,5,19,3,2,2,2,2,0,0,0,0,0
Chick-fil-A,"Chicken, Egg, and Cheese Biscuit",Breakfast,550,28,12,1870,48,7,27,3,2,2,2,2,0,0,0,0,0
Chick-fil-A,"Chicken, Egg, and Cheese Muffin",Breakfast,410,18,6,1320,36,4,27,3,2,2,2,2,0,0,0,0,0
Chick-fil-A,Chick-n Minis,Breakfast,360,13,4,1060,41,8,20,2,2,2,2,2,0,0,0,0,0
Chick-fil-A,Egg White Grill,Breakfast,300,8,4,990,29,2,27,1,2,2,2,2,0,0,0,0,0
Chick-fil-A,Hash Brown Scramble Burrito,Breakfast,700,40,12,1770,51,2,34,3,2,2,2,2,0,0,0,0,0
Chick-fil-A,Hash Brown Scramble Bowl + Nuggets,Breakfast,470,30,9,1350,19,2,29,2,2,2,2,2,0,0,0,0,0
Chick-fil-A,Hashbrowns,Breakfast,270,18,2.5,440,23,0,3,3,0,0,0,0,0,0,0,0,0
Taco Bell,Cheesy Toasted Breakfast Burrito Bacon,Breakfast,350,16,5,900,38,3,13,2,2,0,2,2,0,0,0,0,0
Taco Bell,Cheesy Toasted Breakfast Burrito Sausage,Breakfast,350,17,6,770,38,3,10,2,2,0,2,2,0,0,0,0,0
Taco Bell,Cheesy Toasted Breakfast Burrito - Fiesta Potato,Breakfast,340,14,3.5,770,44,3,9,3,2,0,2,2,0,0,0,0,0
Taco Bell,Grande Toasted Breakfast Burrito Bacon,Breakfast,570,30,11,1320,51,3,23,4,2,0,2,2,0,0,0,0,0
Taco Bell,Grande Toasted Breakfast Burrito Sausage,Breakfast,570,31,12,1190,51,3,21,4,2,0,2,2,0,0,0,0,0
